domgi	accession	taxid	taxOrg	nPig	nGi
337780	pfam10536	3818	Arachis hypogaea	3640	3715
337780	pfam10536	3848	Glycine soja	692	725
337780	pfam10536	180498	Jatropha curcas	540	550
337780	pfam10536	39947	Oryza sativa Japonica Group	528	728
337780	pfam10536	3847	Glycine max	499	646
337780	pfam10536	3821	Cajanus cajan	459	494
337780	pfam10536	29760	Vitis vinifera	391	406
337780	pfam10536	4442	Camellia sinensis	376	432
337780	pfam10536	63459	Chenopodium quinoa	374	488
337780	pfam10536	3827	Cicer arietinum	357	376
337780	pfam10536	130454	Arachis ipaensis	339	484
337780	pfam10536	130453	Arachis duranensis	320	363
337780	pfam10536	3469	Papaver somniferum	309	342
337780	pfam10536	4686	Asparagus officinalis	279	343
337780	pfam10536	3900	Trifolium subterraneum	216	216
337780	pfam10536	4155	Erythranthe guttata	212	220
337780	pfam10536	13333	Amborella trichopoda	212	216
337780	pfam10536	4097	Nicotiana tabacum	211	229
337780	pfam10536	3880	Medicago truncatula	189	228
337780	pfam10536	3917	Vigna unguiculata	183	193
337780	pfam10536	79200	Daucus carota subsp. sativus	149	165
337780	pfam10536	3635	Gossypium hirsutum	149	158
337780	pfam10536	29730	Gossypium raimondii	142	157
337780	pfam10536	3914	Vigna angularis	137	156
337780	pfam10536	57577	Trifolium pratense	136	140
337780	pfam10536	169297	Aegilops tauschii subsp. tauschii	119	139
337780	pfam10536	337451	Cinnamomum micranthum f. kanehirae	112	112
337780	pfam10536	74649	Rosa chinensis	111	158
337780	pfam10536	4577	Zea mays	105	145
337780	pfam10536	29729	Gossypium arboreum	105	111
337780	pfam10536	49451	Nicotiana attenuata	105	106
337780	pfam10536	2094558	Prunus yedoensis var. nudiflora	100	100
337780	pfam10536	3816	Abrus precatorius	98	105
337780	pfam10536	4096	Nicotiana sylvestris	95	133
337780	pfam10536	58331	Quercus suber	93	108
337780	pfam10536	4615	Ananas comosus	88	93
337780	pfam10536	3562	Spinacia oleracea	84	96
337780	pfam10536	13443	Coffea arabica	79	106
337780	pfam10536	4098	Nicotiana tomentosiformis	79	90
337780	pfam10536	3555	Beta vulgaris subsp. vulgaris	68	82
337780	pfam10536	3708	Brassica napus	65	92
337780	pfam10536	906689	Dendrobium catenatum	64	68
337780	pfam10536	3775	Cephalotus follicularis	58	59
337780	pfam10536	3916	Vigna radiata var. radiata	57	60
337780	pfam10536	4540	Panicum miliaceum	53	53
337780	pfam10536	28526	Solanum pennellii	51	60
337780	pfam10536	4558	Sorghum bicolor	49	83
337780	pfam10536	4232	Helianthus annuus	49	52
337780	pfam10536	4072	Capsicum annuum	49	51
337780	pfam10536	3750	Malus domestica	48	55
337780	pfam10536	3871	Lupinus angustifolius	48	51
337780	pfam10536	93759	Corchorus olitorius	47	47
337780	pfam10536	472368	Dorcoceras hygrometricum	46	46
337780	pfam10536	3760	Prunus persica	42	57
337780	pfam10536	3983	Manihot esculenta	40	44
337780	pfam10536	3702	Arabidopsis thaliana	39	83
337780	pfam10536	3711	Brassica rapa	39	52
337780	pfam10536	90675	Camelina sativa	39	46
337780	pfam10536	4081	Solanum lycopersicum	38	47
337780	pfam10536	42229	Prunus avium	38	46
337780	pfam10536	22663	Punica granatum	38	39
337780	pfam10536	49390	Coffea canephora	38	38
337780	pfam10536	39946	Oryza sativa Indica Group	36	39
337780	pfam10536	3885	Phaseolus vulgaris	35	72
337780	pfam10536	3981	Hevea brasiliensis	34	39
337780	pfam10536	3641	Theobroma cacao	34	36
337780	pfam10536	210143	Corchorus capsularis	34	34
337780	pfam10536	157739	Vigna angularis var. angularis	33	33
337780	pfam10536	15368	Brachypodium distachyon	32	39
337780	pfam10536	158386	Olea europaea var. sylvestris	31	46
337780	pfam10536	43335	Populus alba	30	30
337780	pfam10536	225117	Pyrus x bretschneideri	28	39
337780	pfam10536	81972	Arabidopsis lyrata subsp. lyrata	28	30
337780	pfam10536	4555	Setaria italica	27	36
337780	pfam10536	4565	Triticum aestivum	27	27
337780	pfam10536	4182	Sesamum indicum	26	28
337780	pfam10536	35608	Artemisia annua	26	26
337780	pfam10536	49369	Coffea eugenioides	25	29
337780	pfam10536	102107	Prunus mume	25	28
337780	pfam10536	81985	Capsella rubella	24	35
337780	pfam10536	3656	Cucumis melo	24	33
337780	pfam10536	2711	Citrus sinensis	24	29
337780	pfam10536	35883	Ipomoea nil	24	26
337780	pfam10536	3634	Gossypium barbadense	24	24
337780	pfam10536	101020	Fragaria vesca subsp. vesca	23	25
337780	pfam10536	3726	Raphanus sativus	22	24
337780	pfam10536	981085	Morus notabilis	22	23
337780	pfam10536	33114	Capsicum baccatum	22	22
