domgi	accession	taxid	taxOrg	nPig	nGi
337780	pfam10536	75702	Populus euphratica	21	28
337780	pfam10536	4113	Solanum tuberosum	21	26
337780	pfam10536	207710	Prosopis alba	21	25
337780	pfam10536	4530	Oryza sativa	21	24
337780	pfam10536	80379	Capsicum chinense	21	21
337780	pfam10536	206008	Panicum hallii	20	27
337780	pfam10536	3673	Momordica charantia	19	24
337780	pfam10536	157652	Mucuna pruriens	18	18
337780	pfam10536	109376	Brassica oleracea var. oleracea	17	29
337780	pfam10536	3694	Populus trichocarpa	17	25
337780	pfam10536	72664	Eutrema salsugineum	17	23
337780	pfam10536	71139	Eucalyptus grandis	17	22
337780	pfam10536	63057	Trema orientale	17	17
337780	pfam10536	1088818	Apostasia shenzhenica	17	17
337780	pfam10536	3659	Cucumis sativus	16	22
337780	pfam10536	3988	Ricinus communis	16	18
337780	pfam10536	429701	Handroanthus impetiginosus	15	15
337780	pfam10536	4572	Triticum urartu	14	14
337780	pfam10536	267555	Cuscuta australis	14	14
337780	pfam10536	85681	Citrus clementina	13	18
337780	pfam10536	4432	Nelumbo nucifera	13	15
337780	pfam10536	59895	Cynara cardunculus var. scolymus	13	15
337780	pfam10536	4639	Ensete ventricosum	12	12
337780	pfam10536	3712	Brassica oleracea	11	11
337780	pfam10536	542762	Camellia sinensis var. sinensis	11	11
337780	pfam10536	108875	Herrania umbratica	10	11
337780	pfam10536	56857	Macleaya cordata	10	10
337780	pfam10536	180675	Salvia splendens	10	10
337780	pfam10536	888268	Dichanthelium oligosanthes	10	10
337780	pfam10536	1590841	Actinidia chinensis var. chinensis	10	10
337780	pfam10536	66656	Durio zibethinus	9	12
337780	pfam10536	4556	Setaria viridis	9	11
337780	pfam10536	326968	Ziziphus jujuba	9	11
337780	pfam10536	69181	Brassica cretica	9	9
337780	pfam10536	4236	Lactuca sativa	8	10
337780	pfam10536	3649	Carica papaya	8	9
337780	pfam10536	112509	Hordeum vulgare subsp. vulgare	8	9
337780	pfam10536	3476	Parasponia andersonii	8	8
337780	pfam10536	50452	Arabis alpina	8	8
337780	pfam10536	28532	Tarenaya hassleriana	7	11
337780	pfam10536	51953	Elaeis guineensis	7	7
337780	pfam10536	3664	Cucurbita pepo subsp. pepo	6	10
337780	pfam10536	38705	Phyllostachys edulis	6	6
337780	pfam10536	51240	Juglans regia	5	11
337780	pfam10536	3662	Cucurbita moschata	5	8
337780	pfam10536	3661	Cucurbita maxima	5	5
337780	pfam10536	42345	Phoenix dactylifera	5	5
337780	pfam10536	55188	Citrus unshiu	5	5
337780	pfam10536	218851	Aquilegia coerulea	5	5
337780	pfam10536	455371	Spatholobus suberectus	5	5
337780	pfam10536	4533	Oryza brachyantha	3	4
337780	pfam10536	1504633	Panicum hallii var. hallii	3	4
337780	pfam10536	4535	Oryza officinalis	3	3
337780	pfam10536	63629	Oryza minuta	3	3
337780	pfam10536	131158	Saccharum hybrid cultivar R570	3	3
337780	pfam10536	192259	Genlisea aurea	3	3
337780	pfam10536	214687	Musa acuminata subsp. malaccensis	3	3
337780	pfam10536	67780	Edwardsiella ictaluri	2	10
337780	pfam10536	1643429	Candidatus Kryptobacter tengchongensis	2	4
337780	pfam10536	669	Vibrio harveyi	2	3
337780	pfam10536	29655	Zostera marina	2	2
337780	pfam10536	412675	Cucumis melo subsp. melo	2	2
337780	pfam10536	2528593	Clostridia bacterium k32	2	2
337780	pfam10536	2293566	Herbaspirillum sp. 3R-3a1	1	5
337780	pfam10536	573	Klebsiella pneumoniae	1	2
337780	pfam10536	487049	Paraburkholderia rhynchosiae	1	2
337780	pfam10536	1280637	Saccharothrix carnea	1	2
337780	pfam10536	1835702	Penicillium arizonense	1	2
337780	pfam10536	1852522	Paenibacillus aquistagni	1	2
337780	pfam10536	2282311	Halomonas sp. DQ26W	1	2
337780	pfam10536	550	Enterobacter cloacae	1	1
337780	pfam10536	4102	Petunia x hybrida	1	1
337780	pfam10536	4567	Triticum turgidum subsp. durum	1	1
337780	pfam10536	7224	Drosophila hydei	1	1
337780	pfam10536	7263	Drosophila arizonae	1	1
337780	pfam10536	8897	Chaetura pelagica	1	1
337780	pfam10536	34305	Lotus japonicus	1	1
337780	pfam10536	47615	Gossypioides kirkii	1	1
337780	pfam10536	50514	Solanum demissum	1	1
337780	pfam10536	78828	Phalaenopsis equestris	1	1
337780	pfam10536	81971	Arabidopsis halleri subsp. halleri	1	1
337780	pfam10536	110450	Oryza meyeriana var. granulata	1	1
337780	pfam10536	113226	Pseudocercospora musae	1	1
337780	pfam10536	170720	Arachis diogoi	1	1
337780	pfam10536	178901	Acetobacter malorum	1	1
337780	pfam10536	1126212	Macrophomina phaseolina MS6	1	1
337780	pfam10536	1165861	Puccinia striiformis f. sp. tritici PST-78	1	1
337780	pfam10536	1325118	Bradyrhizobium sp. CCBAU 53390	1	1
337780	pfam10536	1476856	Paenibacillus sp. St-s	1	1
337780	pfam10536	1797202	Actinobacteria bacterium RBG_16_67_15	1	1
337780	pfam10536	1852371	Raoultibacter massiliensis	1	1
337780	pfam10536	1911570	Mangrovicoccus ximenensis	1	1
337780	pfam10536	2021370	Sphingobacteriaceae bacterium	1	1
337780	pfam10536	2038116	Nostoc flagelliforme CCNUN1	1	1
337780	pfam10536	2546344	Cumulibacter sp. G-1	1	1
