 domgi       accession                      taxid      
	taxOrg                                                                  
                                                                                
                                                                                
                       
	nPig        nGi        
	         17          33
      335786 pfam04432                          1906666
	Thermoplasmata archaeon                                                 
                                                                                
                                                                                
                       
	         17          18
      335786 pfam04432                             2208
	Methanosarcina barkeri                                                  
                                                                                
                                                                                
                       
	         16          41
      335786 pfam04432                           360807
	Roseburia inulinivorans                                                 
                                                                                
                                                                                
                       
	         16          30
      335786 pfam04432                             2173
	Methanobrevibacter smithii                                              
                                                                                
                                                                                
                       
	         16          25
      335786 pfam04432                          2049433
	Desulfobacteraceae bacterium                                            
                                                                                
                                                                                
                       
	         16          16
      335786 pfam04432                            46506
	Bacteroides stercoris                                                   
                                                                                
                                                                                
                       
	         15          37
      335786 pfam04432                             2160
	Methanobacterium                                                        
                                                                                
                                                                                
                       
	         15          35
      335786 pfam04432                             1076
	Rhodopseudomonas palustris                                              
                                                                                
                                                                                
                       
	         15          30
      335786 pfam04432                             2711
	Citrus sinensis                                                         
                                                                                
                                                                                
                       
	         15          15
      335786 pfam04432                           357276
	Bacteroides dorei                                                       
                                                                                
                                                                                
                       
	         14          44
      335786 pfam04432                           246787
	Bacteroides cellulosilyticus                                            
                                                                                
                                                                                
                       
	         14          29
      335786 pfam04432                            40520
	Blautia obeum                                                           
                                                                                
                                                                                
                       
	         14          26
      335786 pfam04432                              831
	Butyrivibrio fibrisolvens                                               
                                                                                
                                                                                
                       
	         14          16
      335786 pfam04432                           115547
	uncultured archaeon                                                     
                                                                                
                                                                                
                       
	         14          14
      335786 pfam04432                             2198
	Methanoculleus marisnigri                                               
                                                                                
                                                                                
                       
	         13          19
      335786 pfam04432                            29760
	Vitis vinifera                                                          
                                                                                
                                                                                
                       
	         13          15
      335786 pfam04432                            59620
	uncultured Clostridium sp.                                              
                                                                                
                                                                                
                       
	         13          13
      335786 pfam04432                          1538547
	Lokiarchaeum sp. GC14_75                                                
                                                                                
                                                                                
                       
	         13          13
      335786 pfam04432                           372787
	Fischerella thermalis                                                   
                                                                                
                                                                                
                       
	         12          54
      335786 pfam04432                           375288
	Parabacteroides                                                         
                                                                                
                                                                                
                       
	         12          54
      335786 pfam04432                           154046
	Hungatella hathewayi                                                    
                                                                                
                                                                                
                       
	         12          31
      335786 pfam04432                             2162
	Methanobacterium formicicum                                             
                                                                                
                                                                                
                       
	         12          27
      335786 pfam04432                          1871066
	Mesorhizobium sp.                                                       
                                                                                
                                                                                
                       
	         12          23
      335786 pfam04432                             3981
	Hevea brasiliensis                                                      
                                                                                
                                                                                
                       
	         12          17
      335786 pfam04432                             1485
	Clostridium                                                             
                                                                                
                                                                                
                       
	         11          35
      335786 pfam04432                             3760
	Prunus persica                                                          
                                                                                
                                                                                
                       
	         11          17
      335786 pfam04432                             3847
	Glycine max                                                             
                                                                                
                                                                                
                       
	         11          16
      335786 pfam04432                             3641
	Theobroma cacao                                                         
                                                                                
                                                                                
                       
	         11          11
      335786 pfam04432                           380021
	Pseudomonas protegens                                                   
                                                                                
                                                                                
                       
	         10          30
      335786 pfam04432                              396
	Rhizobium phaseoli                                                      
                                                                                
                                                                                
                       
	         10          26
      335786 pfam04432                           310297
	Bacteroides plebeius                                                    
                                                                                
                                                                                
                       
	         10          22
      335786 pfam04432                            61435
	Dehalococcoides mccartyi                                                
                                                                                
                                                                                
                       
	         10          21
      335786 pfam04432                           130453
	Arachis duranensis                                                      
                                                                                
                                                                                
                       
	         10          17
      335786 pfam04432                           644281
	Methanocaldococcus sp. FS406-22                                         
                                                                                
                                                                                
                       
	         10          14
      335786 pfam04432                          1434100
	Methanosarcina sp. MTP4                                                 
                                                                                
                                                                                
                       
	         10          14
      335786 pfam04432                          2053491
	Candidatus Thorarchaeota archaeon                                       
                                                                                
                                                                                
                       
	         10          12
      335786 pfam04432                           165186
	uncultured Ruminococcus sp.                                             
                                                                                
                                                                                
                       
	         10          11
      335786 pfam04432                          2250258
	Archaeoglobales archaeon                                                
                                                                                
                                                                                
                       
	         10          11
      335786 pfam04432                           130454
	Arachis ipaensis                                                        
                                                                                
                                                                                
                       
	          9          44
      335786 pfam04432                           239935
	Akkermansia muciniphila                                                 
                                                                                
                                                                                
                       
	          9          26
      335786 pfam04432                            38027
	Methanosarcina siciliae                                                 
                                                                                
                                                                                
                       
	          9          23
      335786 pfam04432                            83986
	Methanoculleus bourgensis                                               
                                                                                
                                                                                
                       
	          9          18
      335786 pfam04432                           410072
	Coprococcus comes                                                       
                                                                                
                                                                                
                       
	          9          17
      335786 pfam04432                             1531
	[Clostridium] clostridioforme                                           
                                                                                
                                                                                
                       
	          9          13
      335786 pfam04432                           765821
	uncultured Blautia sp.                                                  
                                                                                
                                                                                
                       
	          9          12
      335786 pfam04432                             3635
	Gossypium hirsutum                                                      
                                                                                
                                                                                
                       
	          9          10
      335786 pfam04432                           162156
	uncultured Bacteroides sp.                                              
                                                                                
                                                                                
                       
	          9           9
      335786 pfam04432                          1913988
	Alphaproteobacteria bacterium                                           
                                                                                
                                                                                
                       
	          9           9
      335786 pfam04432                          2056317
	ANME-2 cluster archaeon                                                 
                                                                                
                                                                                
                       
	          9           9
      335786 pfam04432                              379
	Rhizobium                                                               
                                                                                
                                                                                
                       
	          8          18
      335786 pfam04432                            39488
	[Eubacterium] hallii                                                    
                                                                                
                                                                                
                       
	          8          17
      335786 pfam04432                           454154
	Paraprevotella clara                                                    
                                                                                
                                                                                
                       
	          8          16
      335786 pfam04432                           668570
	Methanospirillum lacunae                                                
                                                                                
                                                                                
                       
	          8          16
      335786 pfam04432                             1264
	Ruminococcus albus                                                      
                                                                                
                                                                                
                       
	          8          15
      335786 pfam04432                            33039
	[Ruminococcus] torques                                                  
                                                                                
                                                                                
                       
	          8          15
      335786 pfam04432                          1175445
	Methanocella arvoryzae                                                  
                                                                                
                                                                                
                       
	          8          15
      335786 pfam04432                          1392998
	Candidatus Methanoperedens nitroreducens                                
                                                                                
                                                                                
                       
	          8          14
      335786 pfam04432                          1898203
	Lachnospiraceae bacterium                                               
                                                                                
                                                                                
                       
	          8          12
      335786 pfam04432                          1883427
	Actinobacteria bacterium                                                
                                                                                
                                                                                
                       
	          8           8
      335786 pfam04432                          2172550
	candidate division KSB1 bacterium                                       
                                                                                
                                                                                
                       
	          8           8
      335786 pfam04432                           110321
	Sinorhizobium medicae                                                   
                                                                                
                                                                                
                       
	          7          33
      335786 pfam04432                             1352
	Enterococcus faecium                                                    
                                                                                
                                                                                
                       
	          7          27
      335786 pfam04432                           572511
	Blautia                                                                 
                                                                                
                                                                                
                       
	          7          27
      335786 pfam04432                              666
	Vibrio cholerae                                                         
                                                                                
                                                                                
                       
	          7          22
      335786 pfam04432                            28111
	Bacteroides eggerthii                                                   
                                                                                
                                                                                
                       
	          7          22
      335786 pfam04432                            33043
	Coprococcus eutactus                                                    
                                                                                
                                                                                
                       
	          7          21
      335786 pfam04432                              670
	Vibrio parahaemolyticus                                                 
                                                                                
                                                                                
                       
	          7          19
      335786 pfam04432                            28026
	Bifidobacterium pseudocatenulatum                                       
                                                                                
                                                                                
                       
	          7          18
      335786 pfam04432                             1512
	[Clostridium] symbiosum                                                 
                                                                                
                                                                                
                       
	          7          17
      335786 pfam04432                            46228
	Ruminococcus lactaris                                                   
                                                                                
                                                                                
                       
	          7          17
      335786 pfam04432                            28108
	Alteromonas macleodii                                                   
                                                                                
                                                                                
                       
	          7          15
      335786 pfam04432                            39496
	Eubacterium ventriosum                                                  
                                                                                
                                                                                
                       
	          7          15
      335786 pfam04432                            85681
	Citrus clementina                                                       
                                                                                
                                                                                
                       
	          7          15
      335786 pfam04432                             2203
	Methanospirillum hungatei                                               
                                                                                
                                                                                
                       
	          7          14
      335786 pfam04432                            74426
	Collinsella aerofaciens                                                 
                                                                                
                                                                                
                       
	          7          14
      335786 pfam04432                           145262
	Methanothermobacter thermautotrophicus                                  
                                                                                
                                                                                
                       
	          7          14
      335786 pfam04432                           626931
	Bacteroides oleiciplenus                                                
                                                                                
                                                                                
                       
	          7          14
      335786 pfam04432                          1277351
	Methanospirillum stamsii                                                
                                                                                
                                                                                
                       
	          7          14
      335786 pfam04432                          1550566
	Methanoculleus sediminis                                                
                                                                                
                                                                                
                       
	          7          14
      335786 pfam04432                          2293146
	Ruminococcus sp. AF12-5                                                 
                                                                                
                                                                                
                       
	          7          14
      335786 pfam04432                             2189
	Methanotorris igneus                                                    
                                                                                
                                                                                
                       
	          7          13
      335786 pfam04432                           185007
	Pseudobutyrivibrio xylanivorans                                         
                                                                                
                                                                                
                       
	          7          13
      335786 pfam04432                           328812
	Parabacteroides goldsteinii                                             
                                                                                
                                                                                
                       
	          7          13
      335786 pfam04432                            36745
	Clostridium saccharoperbutylacetonicum                                  
                                                                                
                                                                                
                       
	          7          12
      335786 pfam04432                            46503
	Parabacteroides merdae                                                  
                                                                                
                                                                                
                       
	          7          12
      335786 pfam04432                          1036679
	Methanosarcina spelaei                                                  
                                                                                
                                                                                
                       
	          7          12
      335786 pfam04432                          1483600
	Methanosarcina sp. 2.H.A.1B.4                                           
                                                                                
                                                                                
                       
	          7          12
      335786 pfam04432                             3818
	Arachis hypogaea                                                        
                                                                                
                                                                                
                       
	          7          11
      335786 pfam04432                          1720294
	Eisenbergiella massiliensis                                             
                                                                                
                                                                                
                       
	          7          11
      335786 pfam04432                          1978124
	Methanosarcinales archaeon ex4572_44                                    
                                                                                
                                                                                
                       
	          7          11
      335786 pfam04432                           291645
	Bacteroides nordii                                                      
                                                                                
                                                                                
                       
	          7          10
      335786 pfam04432                           387957
	Methanobrevibacter sp. 87.7                                             
                                                                                
                                                                                
                       
	          7          10
      335786 pfam04432                            39441
	Methanobrevibacter arboriphilus                                         
                                                                                
                                                                                
                       
	          7           9
      335786 pfam04432                            55188
	Citrus unshiu                                                           
                                                                                
                                                                                
                       
	          7           8
      335786 pfam04432                          1839936
	Candidatus Syntrophoarchaeum butanivorans                               
                                                                                
                                                                                
                       
	          7           8
      335786 pfam04432                             2200
	Methanoculleus thermophilus                                             
                                                                                
                                                                                
                       
	          7           7
      335786 pfam04432                          1896974
	Bacteroides sp. 43_108                                                  
                                                                                
                                                                                
                       
	          7           7
      335786 pfam04432                          2013818
	Methanomicrobiales archaeon HGW-Methanomicrobiales-2                    
                                                                                
                                                                                
                       
	          7           7
      335786 pfam04432                          2026739
	Euryarchaeota archaeon                                                  
                                                                                
                                                                                
                       
	          7           7
      335786 pfam04432                          2250275
	Candidatus Hydrothermarchaeota archaeon                                 
                                                                                
                                                                                
                       
	          7           7
      335786 pfam04432                          2485498
	Methanoregulaceae archaeon                                              
                                                                                
                                                                                
                       
	          7           7
      335786 pfam04432                            68287
	Mesorhizobium                                                           
                                                                                
                                                                                
                       
