 domgi       accession                      taxid      
	taxOrg                                                                  
                                                                                
                                                                                
                       
	nPig        nGi        
 ----------- ------------------------------ -----------
	------------------------------------------------------------------------
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
-----------------------
	----------- -----------
      335786 pfam04432                          2026714
	Candidatus Bathyarchaeota archaeon                                      
                                                                                
                                                                                
                       
	         74          77
      335786 pfam04432                              821
	Bacteroides vulgatus                                                    
                                                                                
                                                                                
                       
	         73         234
      335786 pfam04432                              817
	Bacteroides fragilis                                                    
                                                                                
                                                                                
                       
	         62         189
      335786 pfam04432                              816
	Bacteroides                                                             
                                                                                
                                                                                
                       
	         49         263
      335786 pfam04432                              818
	Bacteroides thetaiotaomicron                                            
                                                                                
                                                                                
                       
	         49         106
      335786 pfam04432                          2250255
	Methanosarcinales archaeon                                              
                                                                                
                                                                                
                       
	         45          45
      335786 pfam04432                             1263
	Ruminococcus                                                            
                                                                                
                                                                                
                       
	         37         175
      335786 pfam04432                          2026735
	Deltaproteobacteria bacterium                                           
                                                                                
                                                                                
                       
	         35          36
      335786 pfam04432                              382
	Sinorhizobium meliloti                                                  
                                                                                
                                                                                
                       
	         33          98
      335786 pfam04432                          2056316
	ANME-1 cluster archaeon                                                 
                                                                                
                                                                                
                       
	         33          35
      335786 pfam04432                            28116
	Bacteroides ovatus                                                      
                                                                                
                                                                                
                       
	         31         126
      335786 pfam04432                          2250277
	Thermoprotei archaeon                                                   
                                                                                
                                                                                
                       
	         31          35
      335786 pfam04432                              820
	Bacteroides uniformis                                                   
                                                                                
                                                                                
                       
	         29         129
      335786 pfam04432                             2209
	Methanosarcina mazei                                                    
                                                                                
                                                                                
                       
	         28         251
      335786 pfam04432                            39152
	Methanococcus maripaludis                                               
                                                                                
                                                                                
                       
	         28          63
      335786 pfam04432                              316
	Pseudomonas stutzeri                                                    
                                                                                
                                                                                
                       
	         25          89
      335786 pfam04432                             1126
	Microcystis aeruginosa                                                  
                                                                                
                                                                                
                       
	         24          51
      335786 pfam04432                            40518
	Ruminococcus bromii                                                     
                                                                                
                                                                                
                       
	         24          45
      335786 pfam04432                          2026724
	Chloroflexi bacterium                                                   
                                                                                
                                                                                
                       
	         24          26
      335786 pfam04432                              823
	Parabacteroides distasonis                                              
                                                                                
                                                                                
                       
	         22          52
      335786 pfam04432                            39491
	[Eubacterium] rectale                                                   
                                                                                
                                                                                
                       
	         21          45
      335786 pfam04432                             1502
	Clostridium perfringens                                                 
                                                                                
                                                                                
                       
	         19          37
      335786 pfam04432                           371601
	Bacteroides xylanisolvens                                               
                                                                                
                                                                                
                       
	         19          37
      335786 pfam04432                          1909294
	Rhizobiales bacterium                                                   
                                                                                
                                                                                
                       
	         19          19
      335786 pfam04432                             2207
	Methanosarcina                                                          
                                                                                
                                                                                
                       
	         18         120
      335786 pfam04432                              853
	Faecalibacterium prausnitzii                                            
                                                                                
                                                                                
                       
	         18          37
      335786 pfam04432                              562
	Escherichia coli                                                        
                                                                                
                                                                                
                       
	         17          65
      335786 pfam04432                           329854
	Bacteroides intestinalis                                                
                                                                                
                                                                                
                       
	         17          48
      335786 pfam04432                           165179
	Prevotella copri                                                        
                                                                                
                                                                                
                       
