313550	pfam10341	9031	Gallus gallus	2	2
313550	pfam10341	9361	Dasypus novemcinctus	2	2
313550	pfam10341	9365	Erinaceus europaeus	2	2
313550	pfam10341	9541	Macaca fascicularis	2	2
313550	pfam10341	9555	Papio anubis	2	2
313550	pfam10341	9565	Theropithecus gelada	2	2
313550	pfam10341	9615	Canis lupus familiaris	2	2
313550	pfam10341	9627	Vulpes vulpes	2	2
313550	pfam10341	9696	Puma concolor	2	2
313550	pfam10341	9704	Zalophus californianus	2	2
313550	pfam10341	9796	Equus caballus	2	2
313550	pfam10341	9823	Sus scrofa	2	2
313550	pfam10341	9837	Camelus bactrianus	2	2
313550	pfam10341	9838	Camelus dromedarius	2	2
313550	pfam10341	9925	Capra hircus	2	2
313550	pfam10341	10036	Mesocricetus auratus	2	2
313550	pfam10341	10047	Meriones unguiculatus	2	2
313550	pfam10341	29159	Crassostrea gigas	2	2
313550	pfam10341	34884	Callorhinus ursinus	2	2
313550	pfam10341	45354	[Candida] intermedia	2	2
313550	pfam10341	46731	Pocillopora damicornis	2	2
313550	pfam10341	49012	Sporisorium scitamineum	2	2
313550	pfam10341	59463	Myotis lucifugus	2	2
313550	pfam10341	72004	Bos mutus	2	2
313550	pfam10341	73337	Ceratotherium simum simum	2	2
313550	pfam10341	74940	Oncorhynchus tshawytscha	2	2
313550	pfam10341	93934	Coturnix japonica	2	2
313550	pfam10341	103695	Pogona vitticeps	2	2
313550	pfam10341	121759	Paracoccidioides brasiliensis	2	2
313550	pfam10341	246437	Tupaia chinensis	2	2
313550	pfam10341	291302	Miniopterus natalensis	2	2
313550	pfam10341	294746	Meyerozyma guilliermondii ATCC 6260	2	2
313550	pfam10341	308060	Apteryx rowi	2	2
313550	pfam10341	310752	Balaenoptera acutorostrata scammoni	2	2
313550	pfam10341	342668	Pseudogymnoascus verrucosus	2	2
313550	pfam10341	372326	Patagioenas fasciata monilis	2	2
313550	pfam10341	595528	Capsaspora owczarzaki ATCC 30864	2	2
313550	pfam10341	630390	Puccinia triticina 1-1 BBBD Race 1	2	2
313550	pfam10341	932674	Corvus cornix cornix	2	2
313550	pfam10341	1026970	Nannospalax galili	2	2
313550	pfam10341	1288291	Anncaliia algerae PRA339	2	2
313550	pfam10341	1314781	Exidia glandulosa HHB12029	2	2
313550	pfam10341	1415176	Terrapene mexicana triunguis	2	2
313550	pfam10341	1706337	Neophocaena asiaeorientalis asiaeorientalis	2	2
313550	pfam10341	1720309	Exaiptasia pallida	2	2
313550	pfam10341	1737458	Cebus capucinus imitator	2	2
313550	pfam10341	1867952	Candidatus Terasakiella magnetica	2	2
313550	pfam10341	1294331	Saccharomyces cerevisiae YJM993	1	26
313550	pfam10341	1294303	Saccharomyces cerevisiae YJM189	1	15
313550	pfam10341	559305	Trichophyton rubrum CBS 118892	1	13
313550	pfam10341	1294310	Saccharomyces cerevisiae YJM450	1	8
313550	pfam10341	237561	Candida albicans SC5314	1	7
313550	pfam10341	644223	Komagataella phaffii GS115	1	6
313550	pfam10341	747089	Rhizophagus irregularis DAOM 181602=DAOM 197198	1	6
313550	pfam10341	294748	Candida albicans WO-1	1	5
313550	pfam10341	1294309	Saccharomyces cerevisiae YJM271	1	5
313550	pfam10341	4896	Schizosaccharomyces pombe	1	4
313550	pfam10341	284811	Eremothecium gossypii ATCC 10895	1	4
313550	pfam10341	284813	Encephalitozoon cuniculi GB-M1	1	4
313550	pfam10341	885580	Fukomys damarensis	1	4
313550	pfam10341	1094985	Candida albicans P37005	1	4
313550	pfam10341	1294312	Saccharomyces cerevisiae YJM456	1	4
313550	pfam10341	1294340	Saccharomyces cerevisiae YJM1248	1	4
313550	pfam10341	1294345	Saccharomyces cerevisiae YJM1307	1	4
313550	pfam10341	28985	Kluyveromyces lactis	1	3
313550	pfam10341	64144	Anabas testudineus	1	3
313550	pfam10341	284592	Debaryomyces hansenii CBS767	1	3
313550	pfam10341	332952	Aspergillus flavus NRRL3357	1	3
313550	pfam10341	502869	Saccharomyces cerevisiae YJM451	1	3
313550	pfam10341	655981	Pseudogymnoascus destructans	1	3
313550	pfam10341	663331	Trichophyton benhamiae CBS 112371	1	3
313550	pfam10341	1230065	Cryptococcus neoformans var. grubii AD1-83a	1	3
313550	pfam10341	1296266	Saccharomyces cerevisiae YJM1078	1	3
313550	pfam10341	1616	Weissella kandleri	1	2
313550	pfam10341	4950	Torulaspora delbrueckii	1	2
313550	pfam10341	7739	Branchiostoma floridae	1	2
313550	pfam10341	8187	Lates calcarifer	1	2
313550	pfam10341	29073	Ursus maritimus	1	2
313550	pfam10341	39432	Saimiri boliviensis boliviensis	1	2
313550	pfam10341	41447	Seriola dumerili	1	2
313550	pfam10341	43700	Monopterus albus	1	2
313550	pfam10341	45286	Eremothecium sinecaudum	1	2
313550	pfam10341	45357	[Candida] haemulonis	1	2
313550	pfam10341	84753	Moesziomyces antarcticus	1	2
313550	pfam10341	112498	Ramularia collo-cygni	1	2
313550	pfam10341	122368	Cercospora beticola	1	2
313550	pfam10341	139825	Sparassis crispa	1	2
313550	pfam10341	214684	Cryptococcus neoformans var. neoformans JEC21	1	2
313550	pfam10341	215358	Larimichthys crocea	1	2
313550	pfam10341	222929	Coccidioides posadasii C735 delta SOWgp	1	2
313550	pfam10341	225164	Lottia gigantea	1	2
313550	pfam10341	236234	Diplodia corticola	1	2
313550	pfam10341	237631	Ustilago maydis 521	1	2
313550	pfam10341	240176	Coprinopsis cinerea okayama7#130	1	2
313550	pfam10341	246410	Coccidioides immitis RS	1	2
313550	pfam10341	252598	Saccharomyces sp. 'boulardii'	1	2
313550	pfam10341	283643	Cryptococcus neoformans var. neoformans B-3501A	1	2
313550	pfam10341	294747	Candida tropicalis MYA-3404	1	2
313550	pfam10341	294750	Cryptococcus gattii VGII R265	1	2
313550	pfam10341	306902	Clavispora lusitaniae ATCC 42720	1	2
313550	pfam10341	322104	Scheffersomyces stipitis CBS 6054	1	2
313550	pfam10341	331117	Aspergillus fischeri NRRL 181	1	2
313550	pfam10341	336722	Zymoseptoria tritici IPO323	1	2
313550	pfam10341	336963	Uncinocarpus reesii 1704	1	2
313550	pfam10341	339724	Histoplasma capsulatum NAm1	1	2
313550	pfam10341	341663	Aspergillus terreus NIH2624	1	2
313550	pfam10341	344612	Aspergillus clavatus NRRL 1	1	2
313550	pfam10341	367775	Cryptococcus gattii WM276	1	2
313550	pfam10341	379508	Lodderomyces elongisporus NRRL YB-4239	1	2
313550	pfam10341	383855	Pseudocercospora fijiensis CIRAD86	1	2
313550	pfam10341	402676	Schizosaccharomyces japonicus yFS275	1	2
313550	pfam10341	404692	Coccidioides immitis RMSCC 2394	1	2
313550	pfam10341	418784	[Candida] pseudohaemulonis	1	2
313550	pfam10341	431241	Trichoderma reesei QM6a	1	2
313550	pfam10341	460523	Ogataea polymorpha	1	2
313550	pfam10341	502779	Paracoccidioides lutzii Pb01	1	2
313550	pfam10341	502780	Paracoccidioides brasiliensis Pb18	1	2
313550	pfam10341	535722	Nannizzia gypsea CBS 118893	1	2
313550	pfam10341	554155	Microsporum canis CBS 113480	1	2
313550	pfam10341	559298	Blastomyces gilchristii SLH14081	1	2
313550	pfam10341	559304	Millerozyma farinosa CBS 7064	1	2
313550	pfam10341	573826	Candida dubliniensis CD36	1	2
313550	pfam10341	619300	Spathaspora passalidarum NRRL Y-27907	1	2
313550	pfam10341	645134	Spizellomyces punctatus DAOM BR117	1	2
313550	pfam10341	653667	Schizosaccharomyces cryophilus OY26	1	2
313550	pfam10341	663202	Trichophyton verrucosum HKI 0517	1	2
313550	pfam10341	670483	Gloeophyllum trabeum ATCC 11539	1	2
313550	pfam10341	670580	Postia placenta MAD-698-R-SB12	1	2
313550	pfam10341	671144	Wallemia mellicola CBS 633.66	1	2
313550	pfam10341	692275	Sphaerulina musiva SO2202	1	2
313550	pfam10341	694068	Fomitiporia mediterranea MF3/22	1	2
313550	pfam10341	717646	Baudoinia panamericana UAMH 10762	1	2
313550	pfam10341	741275	Punctularia strigosozonata HHB-11173 SS5	1	2
313550	pfam10341	741705	Coniophora puteana RWD-64-598 SS2	1	2
313550	pfam10341	747525	Heterobasidion irregulare TC 32-1	1	2
313550	pfam10341	869754	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	1	2
313550	pfam10341	871575	Ogataea parapolymorpha DL-1	1	2
313550	pfam10341	876142	Encephalitozoon intestinalis ATCC 50506	1	2
313550	pfam10341	879819	Cutaneotrichosporon oleaginosum	1	2
313550	pfam10341	948595	Vavraia culicis subsp. floridensis	1	2
313550	pfam10341	984485	Hyphopichia burtonii NRRL Y-1933	1	2
313550	pfam10341	984486	Babjeviella inositovora NRRL Y-12698	1	2
313550	pfam10341	984487	Suhomyces tanzawaensis NRRL Y-17324	1	2
313550	pfam10341	1003335	Kluyveromyces marxianus DMKU3-1042	1	2
313550	pfam10341	1032506	Prevotella sp. MSX73	1	2
